N,N0,μ,r,update,confint,gradient
3,1,0.01,2.5,asymmetric,1.4887926563695315,1.206122079081633
3,1,0.01,2.5,Moran,2.2419318177299745,2.37908262755102
3,1,0.01,5.0,asymmetric,0.532195607429427,1.1728248214285708
3,1,0.01,5.0,Moran,1.3808903895182456,2.3537984821428566
3,1,0.01,10.0,asymmetric,0.928573636316175,1.2158965943877558
3,1,0.01,10.0,Moran,2.350126688088951,2.2867919132653105
3,1,0.01,20.0,asymmetric,0.48674767075828607,1.2558702551020413
3,1,0.01,20.0,Moran,3.223220774150402,2.2758167346938807
3,1,0.01,40.0,asymmetric,1.6483792469642453,1.273278086734694
3,1,0.01,40.0,Moran,2.381858456484097,2.202227729591836
3,1,1.0,2.5,asymmetric,100.56588595792361,120.71328010204087
3,1,1.0,2.5,Moran,135.33159622551094,237.01548454081606
3,1,1.0,5.0,asymmetric,71.71116796878471,121.21132994897972
3,1,1.0,5.0,Moran,124.34183995406637,234.7449618494898
3,1,1.0,10.0,asymmetric,78.96639452790276,121.62987784438768
3,1,1.0,10.0,Moran,120.03846457908638,230.92864733418384
3,1,1.0,20.0,asymmetric,59.77088460681135,124.14967589285729
3,1,1.0,20.0,Moran,134.98972054034175,226.10743825255082
3,1,1.0,40.0,asymmetric,67.81491555143593,129.10857492346952
3,1,1.0,40.0,Moran,134.05368774981096,221.81677605867364
5,1,0.01,2.5,asymmetric,1.061259007430541,1.2165282780612252
5,1,0.01,2.5,Moran,2.0448861762365924,2.3859140433673476
5,1,0.01,5.0,asymmetric,1.8386886635730657,1.24101536989796
5,1,0.01,5.0,Moran,2.03568897348832,2.3449312627551
5,1,0.01,10.0,asymmetric,1.1034497474444092,1.2261774107142855
5,1,0.01,10.0,Moran,1.4926549237341906,2.2764876275510195
5,1,0.01,20.0,asymmetric,2.3607471952950774,1.286833915816326
5,1,0.01,20.0,Moran,1.8120149318969176,2.2300718367346954
5,1,0.01,40.0,asymmetric,1.6546719743895557,1.3344176020408183
5,1,0.01,40.0,Moran,2.6419380009745668,2.2084855994897956
5,1,1.0,2.5,asymmetric,89.95189498365727,121.03829184948982
5,1,1.0,2.5,Moran,119.91943894019272,235.694051390306
5,1,1.0,5.0,asymmetric,89.39327635438572,122.67391264030627
5,1,1.0,5.0,Moran,146.55932559977902,233.79021257653034
5,1,1.0,10.0,asymmetric,72.55539568360469,124.35012617346948
5,1,1.0,10.0,Moran,134.49813200703983,229.8037731760203
5,1,1.0,20.0,asymmetric,82.49772805890841,128.73347779336737
5,1,1.0,20.0,Moran,127.26959914818971,224.66731626275515
5,1,1.0,40.0,asymmetric,71.31151442935159,133.85901778061205
5,1,1.0,40.0,Moran,123.39679725442913,220.30900553571428
5,2,0.01,2.5,asymmetric,1.8672359825550553,1.2242972066326536
5,2,0.01,2.5,Moran,2.083572651713506,2.3639608801020398
5,2,0.01,5.0,asymmetric,1.3708925261808718,1.2469234821428559
5,2,0.01,5.0,Moran,3.4110171614221683,2.3792011224489804
5,2,0.01,10.0,asymmetric,1.3856479227082996,1.271202206632654
5,2,0.01,10.0,Moran,1.2944424139812805,2.333089017857142
5,2,0.01,20.0,asymmetric,0.5204267624298359,1.2433597704081638
5,2,0.01,20.0,Moran,2.59871734654497,2.3592017984693836
5,2,0.01,40.0,asymmetric,1.5044317702386416,1.3158354464285735
5,2,0.01,40.0,Moran,2.517598066648235,2.310541721938776
5,2,1.0,2.5,asymmetric,155.66026637405145,121.28361634684438
5,2,1.0,2.5,Moran,134.36690134187774,238.53415931122447
5,2,1.0,5.0,asymmetric,107.73204564314841,122.00261540816335
5,2,1.0,5.0,Moran,124.81697233244617,237.36236730867358
5,2,1.0,10.0,asymmetric,91.33573103443143,124.60164526785724
5,2,1.0,10.0,Moran,124.96841699012275,235.08878483418397
5,2,1.0,20.0,asymmetric,72.44534827131766,127.72862661989792
5,2,1.0,20.0,Moran,132.65620810366073,233.07686799744897
5,2,1.0,40.0,asymmetric,91.7015716850998,134.71681951530604
5,2,1.0,40.0,Moran,157.84116350543462,230.9811404336734
20,1,0.01,2.5,asymmetric,1.5009548107593287,1.23507
20,1,0.01,2.5,Moran,1.9085489393130473,2.3598154464285743
20,1,0.01,5.0,asymmetric,0.9283507997902731,1.2495999872448973
20,1,0.01,5.0,Moran,1.6349732359322833,2.3275076020408174
20,1,0.01,10.0,asymmetric,1.0292478530644358,1.3252150255102042
20,1,0.01,10.0,Moran,2.097910453354645,2.3181617602040827
20,1,0.01,20.0,asymmetric,0.5543123031494818,1.3979022831632646
20,1,0.01,20.0,Moran,2.417054804498326,2.2500983673469395
20,1,0.01,40.0,asymmetric,1.7512863775250156,1.4450429974489776
20,1,0.01,40.0,Moran,1.7961009995497756,2.213298711734692
20,1,1.0,2.5,asymmetric,95.8003884997353,123.48350503826548
20,1,1.0,2.5,Moran,140.0208587903979,236.3986689923473
20,1,1.0,5.0,asymmetric,91.20741202049832,126.79407897959169
20,1,1.0,5.0,Moran,146.02470276849755,233.71068767857156
20,1,1.0,10.0,asymmetric,92.89940716256248,131.59209123724503
20,1,1.0,10.0,Moran,121.29675454997867,228.49170747448971
20,1,1.0,20.0,asymmetric,95.84271685360578,137.81157133928548
20,1,1.0,20.0,Moran,128.7876773930779,224.6504894132652
20,1,1.0,40.0,asymmetric,93.84897420522185,145.87007179846947
20,1,1.0,40.0,Moran,119.95668750407998,221.29492830357174
20,2,0.01,2.5,asymmetric,1.6318039222382965,1.2578944260204072
20,2,0.01,2.5,Moran,1.3990633663903256,2.367032704081629
20,2,0.01,5.0,asymmetric,1.383434637996321,1.2578005484693877
20,2,0.01,5.0,Moran,2.7078584243079336,2.3334585969387773
20,2,0.01,10.0,asymmetric,0.4738771307421309,1.2952852551020415
20,2,0.01,10.0,Moran,2.969641370157082,2.357042066326532
20,2,0.01,20.0,asymmetric,1.5744688334106967,1.425693507653061
20,2,0.01,20.0,Moran,2.025514293856303,2.28838318877551
20,2,0.01,40.0,asymmetric,1.5129626668557479,1.4604323979591847
20,2,0.01,40.0,Moran,2.282868966140507,2.2980245408163267
20,2,1.0,2.5,asymmetric,137.9742464683134,123.68570110969372
20,2,1.0,2.5,Moran,146.23137948809736,237.6968599999998
20,2,1.0,5.0,asymmetric,104.39758891163557,126.62822928571427
20,2,1.0,5.0,Moran,156.84177711735137,236.54220334183628
