N,N0,μ,r,update,confint,gradient
3,1,0.01,2.5,asymmetric,1.3366570472580428,1.2158573801020383
3,1,0.01,2.5,Moran,1.9629157325013318,2.361498477040814
3,1,0.01,5.0,asymmetric,0.6537383137353026,1.208548584183672
3,1,0.01,5.0,Moran,1.462593010169704,2.3218679897959227
3,1,0.01,10.0,asymmetric,0.9731914380306961,1.2391708086734672
3,1,0.01,10.0,Moran,2.176647144496338,2.2697264617346926
3,1,0.01,20.0,asymmetric,0.9964910390163775,1.2716262499999986
3,1,0.01,20.0,Moran,1.5203279655812973,2.2166766326530607
3,1,0.01,40.0,asymmetric,1.3128084144751082,1.3300189464285719
3,1,0.01,40.0,Moran,1.212254785123656,2.1682471479591863
3,1,1.0,2.5,asymmetric,85.13267901171673,120.88742628571448
3,1,1.0,2.5,Moran,125.93777964237253,236.42260628826563
3,1,1.0,5.0,asymmetric,82.23518769200939,121.88421141836737
3,1,1.0,5.0,Moran,116.78370438267606,233.1119737321428
3,1,1.0,10.0,asymmetric,68.4983287635594,123.46618883418358
3,1,1.0,10.0,Moran,119.90903778279863,228.40905553826516
3,1,1.0,20.0,asymmetric,73.86674371056091,127.094141237245
3,1,1.0,20.0,Moran,108.57743862513367,222.00449986479617
3,1,1.0,40.0,asymmetric,75.60423249658228,133.3516779234692
3,1,1.0,40.0,Moran,112.70560292329003,216.12271307397953
5,1,0.01,2.5,asymmetric,1.3442031695754555,1.2203989030612294
5,1,0.01,2.5,Moran,1.6151029120404212,2.3716329668367413
5,1,0.01,5.0,asymmetric,1.4292011876816177,1.221907451530613
5,1,0.01,5.0,Moran,1.8931579370476987,2.3585471556122477
5,1,0.01,10.0,asymmetric,1.5044728284486448,1.2549660433673466
5,1,0.01,10.0,Moran,1.6909110485912306,2.29503407142857
5,1,0.01,20.0,asymmetric,1.4617798014539827,1.3247109234693886
5,1,0.01,20.0,Moran,1.6199658042510077,2.225204374999999
5,1,0.01,40.0,asymmetric,0.6002940486975923,1.3764433724489775
5,1,0.01,40.0,Moran,1.5935376438112008,2.1675174260204075
5,1,1.0,2.5,asymmetric,87.42476725038816,121.56722421537063
5,1,1.0,2.5,Moran,122.9284118117897,235.87536805270503
5,1,1.0,5.0,asymmetric,72.72406995885521,122.7632629566328
5,1,1.0,5.0,Moran,130.8086412855938,233.41876365306106
5,1,1.0,10.0,asymmetric,72.96301533784994,125.77247798979577
5,1,1.0,10.0,Moran,118.35032428749788,228.72101546428593
5,1,1.0,20.0,asymmetric,75.98063086071994,130.1844080816325
5,1,1.0,20.0,Moran,120.72290404868453,223.06444518622493
5,1,1.0,40.0,asymmetric,78.52168063638194,137.29302535204076
5,1,1.0,40.0,Moran,111.04353976705345,217.9268425051023
5,2,0.01,2.5,asymmetric,1.414103844935823,1.2190013949967073
5,2,0.01,2.5,Moran,1.3211766142218115,2.3356840994897983
5,2,0.01,5.0,asymmetric,1.1523194391982745,1.2416686913265311
5,2,0.01,5.0,Moran,1.5098928799708267,2.344153311224491
5,2,0.01,10.0,asymmetric,1.137718195106467,1.2620816122448983
5,2,0.01,10.0,Moran,1.6078245226902093,2.3204435637755125
5,2,0.01,20.0,asymmetric,1.0875040214241285,1.3113592168367327
5,2,0.01,20.0,Moran,1.748985578111825,2.29256664285714
5,2,0.01,40.0,asymmetric,0.9963818039630823,1.4036723035714282
5,2,0.01,40.0,Moran,1.7288087031405062,2.2583118494897922
5,2,1.0,2.5,asymmetric,108.91675649331358,121.88360396961946
5,2,1.0,2.5,Moran,127.87906889515398,237.9826150688776
5,2,1.0,5.0,asymmetric,88.16963860647229,123.56886442602011
5,2,1.0,5.0,Moran,135.11837952161798,236.27478417091856
5,2,1.0,10.0,asymmetric,82.71845202156031,127.01531412499995
5,2,1.0,10.0,Moran,131.05574025528665,233.5921214183676
5,2,1.0,20.0,asymmetric,84.64062139419337,132.4689591709184
5,2,1.0,20.0,Moran,123.43685198010593,229.86542004591865
5,2,1.0,40.0,asymmetric,79.80810482054956,141.48360213265295
5,2,1.0,40.0,Moran,124.3876169479801,225.7376424005106
20,1,0.01,2.5,asymmetric,0.666798759997163,1.2275865854205579
20,1,0.01,2.5,Moran,1.2269511550257215,2.373860472789113
20,1,0.01,5.0,asymmetric,1.1473166122175433,1.2786551301020421
20,1,0.01,5.0,Moran,1.6488839779781952,2.344215778061225
20,1,0.01,10.0,asymmetric,1.1416908072947773,1.3136332040816312
20,1,0.01,10.0,Moran,1.8739600461062982,2.299280711734693
